Gene_name,GSM1342279,GSM1342280,GSM1342281,GSM1342282,GSM1342283
GGT1,-0.3375907,0.20178986,0.04458046,0.08621311,-0.11835337
LOC642538,0.13524961,0.18164682,0.09336376,0.046785355,0.24856567
LOC375295,-0.025920868,-0.08645964,-0.050825596,0.018500805,-0.20646667
C9orf19,0.22711182,0.3595209,-0.18589783,-0.4954996,-0.13572502
LRRC58,0.65223026,0.70874596,-0.98015213,-1.0406351,-1.2172923
LOC652173,-0.054023266,-0.22972631,0.0985508,-0.07785845,-0.09043169
LOC441196,0.039652348,-0.023540974,-0.060967445,0.08522987,-0.11315489
INPP4A,0.39726114,0.3944974,0.23107147,0.2263565,0.12677097
LOC643722,-0.123631954,-0.07068157,0.00728178,-0.046765804,0.000139
SH3KBP1,-0.12278843,-0.038233757,0.15871811,0.053768635,-0.1319418
LOC647357,-0.07406473,0.065246105,0.055570126,-0.024170876,-0.065852165
GRB10,-0.44548225,-0.5879631,0.34207726,0.36478662,0.3613448
LOC647049,0.10952425,-0.04700327,-0.113852024,-0.0040555,0.012582302
PRAMEF1,0.11800051,0.2352395,-0.13160086,0.080760956,-0.15825081
LLGL2,-0.1664567,-0.10839605,-0.2029171,-0.17081785,-0.1314125
FAM89A,0.112893105,-0.21249199,0.40917826,0.6144533,0.6680622
LOC652616,-0.002643585,0.1356678,-0.13917828,-0.21968794,0.056614876
LOC642595,-0.074213505,-0.02772379,-0.26563835,0.14777756,-0.057545662
LOC440104,-0.03507328,-0.18318939,0.1339879,0.17807531,-0.25099134
LOC202134,-0.11175823,0.025230885,-0.005126953,0.011221886,0.09081745
SHH,-0.28513765,-0.19060802,0.51130295,0.27306032,-0.04184866
FAM131B,-0.040246964,-0.25080013,0.2586522,0.25888634,0.27869797
LOC647102,-0.18504572,-0.087004185,0.07853794,0.19139814,0.36275578
FLJ20972,0.15010023,-0.20949364,-0.15392351,0.060153008,0.09566116
LOC648815,-0.20548058,-0.05484724,0.21392727,-0.27662897,0.05818081
C10orf111,-0.2627635,-0.11102295,-0.3792162,-0.020736694,-0.12640905
THEX1,-0.9099393,-0.6389899,-0.47499037,-0.50589514,-0.12574053
TMCO5,-0.40764332,-0.19469166,0.08138466,0.036456585,-0.34051132
LOC648758,0.000109,-0.035675526,0.002711773,-0.041583538,-0.057144165
