Gene_name,GSM368877,GSM368878,GSM368879,GSM368880,GSM368881,GSM368882,GSM368883,GSM368884,GSM368885,GSM368886,GSM368887,GSM368888,GSM368889,GSM368890
CAD,0.65299639,0.834694678,0.516348799,0.565030954,-0.381604551,-1.338018347,-2.924949725,0.274924464,0.164261906,0.544220666,0.622512328,-0.500219728,-2.013307809,-1.7391764
COL24A1,-2.822529226,-2.822529226,-2.822529226,-2.822529226,-1.822535989,3.038802762,1.691003366,-2.822529226,-0.754353728,-2.205025028,-2.506602222,-2.620337996,-1.466554844,-0.387434241
E2F8,1.238059305,0.960804903,0.301219257,0.344860374,-3.430944776,-3.430944776,-1.372928152,0.571588985,1.169769134,1.484423744,0.198232589,-3.430944776,-3.430944776,-1.738410451
PGR,0,0,0,0,0.477102855,0,0,0,0,0,0,0.761537404,0.673792708,0.093079254
HMX1,-3.124002694,-3.124002694,-3.124002694,-3.124002694,2.988011892,-1.599372284,-3.124002694,-3.124002694,-3.109407269,-3.124002694,-3.124002694,2.899560396,-3.124002694,-3.124002694
TLK1,0.722991515,0.582749917,0.325813558,0.340462145,-0.771340608,-0.863875272,-1.169358107,0.499615381,0.163583265,0.321002043,0.022237341,-2.763539424,0.247187167,-0.678014151
GPR151,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GPR107,-2.047634971,-1.362693023,-2.175990126,-2.120217221,2.861336488,-1.376274008,-2.821228909,-1.518905106,-1.701765655,-2.200022742,-2.821228909,2.187068603,-1.775911324,-2.821228909
POU2AF1,0.192070501,-0.53701502,-0.591437739,-0.037350141,-1.456418141,-1.824284187,0.044721476,1.392558602,-0.437430538,1.046845693,0.480501819,0.798169091,-0.248081453,-0.326586428
KIAA1212,0.525936213,0.639427087,0.017323009,0.12360641,-4.713426979,-0.329411719,0.38897868,0.070906865,0.219491672,0.220323861,0.099007389,0.540382223,-0.51650082,0.335444563
CABYR,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KCNAB1,-0.826018175,-0.826018175,-0.826018175,-0.826018175,3.413860991,-0.826018175,-0.826018175,-0.826018175,-0.826018175,-0.826018175,-0.826018175,2.348349292,-0.826018175,0.960266615
ZNF645,0,0,0,0,0.394017427,0,0,0,0,0,0,0,0,0
LRSAM1,-1.106974565,-0.76737135,-1.179224456,-0.826207037,0.955958493,0.944328842,0.007967106,-1.470138552,-1.263067175,-1.083775994,-0.905349738,0.791844584,0.402287638,-0.677172746
PCDHGB5,-0.368455157,-0.368455157,-0.368455157,-0.368455157,4.18269245,-0.368455157,-0.368455157,-0.368455157,-0.368455157,-0.368455157,-0.368455157,3.023820187,-0.368455157,-0.368455157
C3ORF9,0.112559746,0.406571646,0.146545942,0.355846173,-0.060814851,0.748467978,-1.05986903,0.06581902,0.144357153,-0.082061448,0.133330153,-1.772855021,0.307568352,0.224935498
SDS,-2.57511745,-2.57511745,-2.57511745,-2.57511745,0.425115842,2.850961503,-2.57511745,-2.57511745,-2.57511745,-2.57511745,-2.57511745,-0.634200881,1.19419478,-0.420894766
LOC400986,-0.460759051,1.456422331,-1.338682574,-1.129937277,0.562095729,1.298135844,-1.634103632,-1.305031081,0.36338123,0.175189576,0.003726781,-1.419576557,0.359521581,-0.899809615
CXORF39,0.716931366,0.436291683,0.527996649,0.413273095,-4.589594509,-3.374743487,-1.570910267,0.325300036,0.084525004,0.41122917,0.136520767,-4.589594509,0.419012828,-1.110710045
BMP2K,0.977139114,0.548689057,0.494430527,0.558966368,0.387024872,-2.43780536,-2.82051608,0.761488407,0.596278364,0.563956982,0.580326013,-3.274155253,-1.467191239,-1.972839999
CCDC27,-0.245787353,0.237267045,0.26329716,0.134611635,-1.214193343,2.13382568,-0.276899804,-0.067563372,-0.030299962,-0.636968169,-0.654975044,-1.214193343,0.180928767,-1.045271364
GPR132,-0.723763356,-2.893845442,0.578476605,-2.24528854,0.814777737,-2.893845442,-2.893845442,0.856945943,1.149784502,0.701759662,1.821716106,-1.001708003,-0.728365975,-1.888745523
ZNF291,-2.540108632,-1.571944101,-1.967539569,-3.370762851,1.341824309,-0.758521078,0.993294456,-1.399083105,-1.422505244,-1.932283467,-1.586960554,2.365636971,-0.45892365,0.249873935
BCCIP,0.9735305,0.608990325,0.665851908,0.851435417,-3.927607987,-2.181914751,-0.851753851,0.620127214,0.62456558,0.980297407,0.031161552,-4.086307269,-1.854148704,-1.361168565
ZNF211,0.775684265,0.343873211,0.108566073,0.441136606,-4.692691333,-0.703945536,-1.579620123,0.240174115,0.95485913,0.742786639,0.510586971,-4.003576,-0.092372866,-0.730273832
